Title,PoliticalParty,Description,Cost,Location,Date,AnnouncedBy,Portfolio,AnnouncementType,WhoAnnouncedType,CommitmentType,CriticalDate,ThemeType,PackageType,OfficialCosting,CostingRequired,Status,Id
Phasing Out of Live Sheep Trade,Australian Labor Party,Labor has committed to a five year phase out of the live sheep trade. Labor will stop the northern summer sheep trade at the first opportunity and phase out all live sheep exports over time.,,,31/10/2018,,Agriculture and Water Resources,Media Report,Leader,National,5,,,,,With Policy Area,2
Music Policy Package - Overview,Australian Labor Party,"Labor has committed $28 million over three years to deliver a comprehensive music policy, including new spending and making critical reforms.<div><br></div><div>The package will:</div><div><ul><li>Invest in live music, music exports, youth music programs and music hubs in communities.</li><li>Crack down on ticket scalping, and ensuring Australian music fans have fair access to tickets.</li><li>Support mental health programs that help artists and crew.</li></ul></div>",$28 million over 3 years,,30/11/2018,,Communications and the Arts,Press Release,Leader,National,1,,,,,With Policy Area,3
Youth Music,Australian Labor Party,"Labor has committed $7.6 million over three years in extra support for music education and music teachers. The funding will go towards expanding school programs such as SongMakers, which brings musicians into schools, and Song Room, dedicated to providing music and art lessons to disadvantaged kids.",$7.6 million over 3 years,,30/11/2018,,Education and Training,Press Release,Leader,National,1,,,,,With Policy Area,4
Community Music Hubs,Australian Labor Party,"Labor has committed at least $5 million over three years in grant funding to establish and grow music hubs around the country. This funding will provide support to councils, schools, neighbourhood centres or community spaces to set up a music hub where students and musicians in the local area can come, learn, collaborate and practice. Funding can be used for soundproofing, equipment, instruments, acoustic assessments or refurbishments.",$5 million over 3 years,,30/11/2018,,Communications and the Arts,Press Release,Leader,National,1,,,,,With Policy Area,5
Sounds Australia – Music Exports and Live Music,Australian Labor Party,"Labor has committed over $10 million over three years to the new Sounds Australia to deliver the functions of the Live Music Office to help them work with local governments to remove barriers for live music venues around the country. The funding will also allow Sounds Australia to expand its reach and build on the 1,500 Australian groups that have been showcased at international events in over 23 countries.",$10 million over 3 years,,30/11/2018,,Communications and the Arts,Press Release,Leader,National,1,,,,,With Policy Area,6
New Recordings Program,Australian Labor Party,"Labor has committed $300,000 over three years to double the New Recordings Program which is run through the Australia Council. The program currently
allocates $100,000 per year to record ten albums.","$300,000 over 3 years",,30/11/2018,,Communications and the Arts,Press Release,Leader,National,1,,,,,With Policy Area,7
Mental Health and Music Funding,Australian Labor Party,Labor has committed $4.2 million over three years for two charities working in music and mental health: Nordoff Robbins and Support Act.,$4.2 million over 3 years,,30/11/2018,,Health,Press Release,Leader,National,1,,,,,With Policy Area,8
Music Managers,Australian Labor Party,"Labor has committed $250,000 a year over three years to the Association of Artists Managers to train new and emerging
managers. This will help artists get the support they need and the industry to continue to grow.","$750,000 over 3 years",,30/11/2018,,Communications and the Arts,Press Release,Leader,National,1,,,,,With Policy Area,9
ARIA Music Teacher Award,Australian Labor Party,"Labor has committed $600,000 over three years to expand the ARIA&nbsp;music teacher award to four categories - primary; secondary; community; and remote music teachers. The new categories mean four times as many teachers are mentored and more teachers are recognised for their hard work.","$600,000 over 3 years",,30/11/2018,,Communications and the Arts,Press Release,Leader,National,1,,,,,With Policy Area,10
Reversal of Funding Freeze for the ABC,Australian Labor Party,"<div>Labor has committed to reverse the $83.7 million funding freeze to the ABC. Labor will commit to never sell the ABC, and to provide significant and increasing funding to the ABC and SBS every three years.</div>",$83.7 million,,11/05/2018,,Communications and the Arts,Press Release,Leader,National,1,,,,,With Policy Area,11
Establishment of a Voice for First Nations People,Australian Labor Party,"Labor has committed to establish a Voice for the First Australians, and seek the support of the Australian people for that Voice to be enshrined in the Constitution. This will be Labor's first priority for constitutional change, and they have committed to hold a referendum on this question in their first term of Government.&nbsp;",,,27/11/2018,,Indigenous Affairs,Press Release,Leader,National,3,,,,,With Policy Area,12
