StartDate,EndDate,Title,Location,CssClass
25/10/2019 12:00:00 AM,26/10/2019 12:00:00 AM,Supplementary Budget Estimates,"Parliament House, CANBERRA, ACT 2600",timerange-sitting-house
8/04/2019 12:00:00 AM,13/04/2019 12:00:00 AM,Budget Estimates,"Parliament House, CANBERRA, ACT 2600",timerange-sitting-house
5/04/2019 12:00:00 AM,6/04/2019 12:00:00 AM,Budget Estimates,"Parliament House, CANBERRA, ACT 2600",timerange-sitting-house
4/04/2019 12:00:00 AM,5/04/2019 12:00:00 AM,"House Sitting Only, Budget Estimates","Parliament House, CANBERRA, ACT 2600",timerange-sitting-house
28/11/2019 12:00:00 AM,29/11/2019 12:00:00 AM,Both Houses of Parliament Sitting (2/3 Senate Cut Off),"Parliament House, CANBERRA, ACT 2600",timerange-sitting-both
2/12/2019 12:00:00 AM,6/12/2019 12:00:00 AM,Both Houses of Parliament Sitting,"Parliament House, CANBERRA, ACT 2600",timerange-sitting-both
25/11/2019 12:00:00 AM,28/11/2019 12:00:00 AM,Both Houses of Parliament Sitting,"Parliament House, CANBERRA, ACT 2600",timerange-sitting-both
11/11/2019 12:00:00 AM,15/11/2019 12:00:00 AM,Senate Sitting Only,"Parliament House, CANBERRA, ACT 2600",timerange-sitting-senate
21/10/2019 12:00:00 AM,25/10/2019 12:00:00 AM,"House Sitting Only, Supplementary Budget Estimates","Parliament House, CANBERRA, ACT 2600",timerange-sitting-house
16/10/2019 12:00:00 AM,17/10/2019 12:00:00 AM,Both Houses of Parliament Sitting (2/3 Senate Cut Off),"Parliament House, CANBERRA, ACT 2600",timerange-sitting-both
11/09/2019 12:00:00 AM,12/09/2019 12:00:00 AM,Both Houses of Parliament Sitting (2/3 Senate Cut Off),"Parliament House, CANBERRA, ACT 2600",timerange-sitting-both
17/10/2019 12:00:00 AM,18/10/2019 12:00:00 AM,Both Houses of Parliament Sitting,"Parliament House, CANBERRA, ACT 2600",timerange-sitting-both
14/10/2019 12:00:00 AM,16/10/2019 12:00:00 AM,Both Houses of Parliament Sitting,"Parliament House, CANBERRA, ACT 2600",timerange-sitting-both
12/09/2019 12:00:00 AM,13/09/2019 12:00:00 AM,Both Houses of Parliament Sitting,"Parliament House, CANBERRA, ACT 2600",timerange-sitting-both
16/09/2019 12:00:00 AM,20/09/2019 12:00:00 AM,Both Houses of Parliament Sitting,"Parliament House, CANBERRA, ACT 2600",timerange-sitting-both
9/09/2019 12:00:00 AM,11/09/2019 12:00:00 AM,Both Houses of Parliament Sitting,"Parliament House, CANBERRA, ACT 2600",timerange-sitting-both
19/08/2019 12:00:00 AM,23/08/2019 12:00:00 AM,Both Houses of Parliament Sitting,"Parliament House, CANBERRA, ACT 2600",timerange-sitting-both
12/08/2019 12:00:00 AM,16/08/2019 12:00:00 AM,Both Houses of Parliament Sitting,"Parliament House, CANBERRA, ACT 2600",timerange-sitting-both
18/06/2019 12:00:00 AM,19/06/2019 12:00:00 AM,Both Houses of Parliament Sitting (2/3 Senate Cut Off),"Parliament House, CANBERRA, ACT 2600",timerange-sitting-both
24/06/2019 12:00:00 AM,28/06/2019 12:00:00 AM,Both Houses of Parliament Sitting,"Parliament House, CANBERRA, ACT 2600",timerange-sitting-both
17/06/2019 12:00:00 AM,18/06/2019 12:00:00 AM,Both Houses of Parliament Sitting,"Parliament House, CANBERRA, ACT 2600",timerange-sitting-both
19/06/2019 12:00:00 AM,21/06/2019 12:00:00 AM,Both Houses of Parliament Sitting,"Parliament House, CANBERRA, ACT 2600",timerange-sitting-both
3/06/2019 12:00:00 AM,7/06/2019 12:00:00 AM,Both Houses of Parliament Sitting,"Parliament House, CANBERRA, ACT 2600",timerange-sitting-both
28/05/2019 12:00:00 AM,31/05/2019 12:00:00 AM,Both Houses of Parliament Sitting,"Parliament House, CANBERRA, ACT 2600",timerange-sitting-both
13/05/2019 12:00:00 AM,17/05/2019 12:00:00 AM,Both Houses of Parliament Sitting,"Parliament House, CANBERRA, ACT 2600",timerange-sitting-both
15/04/2019 12:00:00 AM,19/04/2019 12:00:00 AM,House Sitting Only,"Parliament House, CANBERRA, ACT 2600",timerange-sitting-house
3/04/2019 12:00:00 AM,4/04/2019 12:00:00 AM,Both Houses of Parliament Sitting (2/3 Senate Cut Off),"Parliament House, CANBERRA, ACT 2600",timerange-sitting-both
2/04/2019 12:00:00 AM,3/04/2019 12:00:00 AM,"Both Houses of Parliament Sitting, Budget","Parliament House, CANBERRA, ACT 2600",timerange-sitting-both
18/02/2019 12:00:00 AM,22/02/2019 12:00:00 AM,"House Sitting Only, Additional Estimates","Parliament House, CANBERRA, ACT 2600",timerange-sitting-house
14/02/2019 12:00:00 AM,15/02/2019 12:00:00 AM,Both Houses of Parliament Sitting,"Parliament House, CANBERRA, ACT 2600",timerange-sitting-both
13/02/2019 12:00:00 AM,14/02/2019 12:00:00 AM,Both Houses of Parliament Sitting (2/3 Senate Cut Off),"Parliament House, CANBERRA, ACT 2600",timerange-sitting-both
12/02/2019 12:00:00 AM,13/02/2019 12:00:00 AM,Both Houses of Parliament Sitting,"Parliament House, CANBERRA, ACT 2600",timerange-sitting-both
