"Title","State","Area"
"Bean","ACT","1913"
"Canberra","ACT","312"
"Fenner","ACT","238"
"Banks","NSW","53"
"Barton","NSW","40"
"Bennelong","NSW","60"
"Berowra","NSW","786"
"Blaxland","NSW","61"
"Bradfield","NSW","101"
"Calare","NSW","32 666"
"Chifley","NSW","126"
"Cook","NSW","94"
"Cowper","NSW","7296"
"Cunningham","NSW","519"
"Dobell","NSW","787"
"Eden-Monaro","NSW","41617"
"Farrer","NSW","126 590"
"Fowler","NSW","69"
"Gilmore","NSW","6 342"
"Grayndler","NSW","32"
"Greenway","NSW","81"
"Hughes","NSW","369"
"Hume","NSW","17 240"
"Hunter","NSW","10 640"
"Kingsford Smith","NSW","91"
"Lindsay","NSW","339"
"Lyne","NSW","16 099"
"Macarthur","NSW","363"
"Mackellar","NSW","233"
"Macquarie","NSW","4374"
"McMahon","NSW","168"
"Mitchell","NSW","101"
"Newcastle","NSW","171"
"New England","NSW","68394"
"North Sydney","NSW","53"
"Page","NSW","19 342"
"Parkes","NSW","393413"
"Parramatta","NSW","57"
"Paterson","NSW","1123"
"Reid","NSW","55"
"Richmond","NSW","2148"
"Riverina","NSW","48988"
"Robertson","NSW","980"
"Shortland","NSW","265"
"Sydney","NSW","44"
"Warringah","NSW","68"
"Watson","NSW","47"
"Wentworth","NSW","38"
"Werriwa","NSW","172"
"Whitlam","NSW","1331"
"Lingiari","NT","1348158"
"Solomon","NT","191"
"Blair","Qld","6472"
"Bonner","Qld","374"
"Bowman","Qld","536"
"Brisbane","Qld","57"
"Capricornia","Qld","90903"
"Dawson","Qld","14630"
"Dickson","Qld","724"
"Fadden","Qld","387"
"Fairfax","Qld","1004"
"Fisher","Qld","1198"
"Flynn","Qld","132824"
"Forde","Qld","418"
"Griffith","Qld","57"
"Groom","Qld","5586"
"Herbert","Qld","941"
"Hinkler","Qld","3818"
"Kennedy","Qld","567377"
"Leichhardt","Qld","148559"
"Lilley","Qld","144"
"Longman","Qld","1 237"
"Maranoa","Qld","729 897"
"McPherson","Qld","229"
"Moncrieff","Qld","100"
"Moreton","Qld","109"
"Oxley","Qld","159"
"Petrie","Qld","152"
"Rankin","Qld","131"
"Ryan","Qld","370"
"Wide Bay","Qld","14227"
"Wright","Qld","7577"
"Adelaide","SA","86"
"Barker","SA","65206"
"Boothby","SA","115"
"Grey","SA","908595"
"Hindmarsh","SA","122"
"Kingston","SA","165"
"Makin","SA","162"
"Mayo","SA","9 135"
"Spence","SA","532"
"Sturt","SA","97"
"Bass","Tas.","7975"
"Braddon","Tas.","21369"
"Clark","Tas.","292"
"Franklin","Tas.","10009"
"Lyons","Tas.","35 721"
"Aston","Vic.","113"
"Ballarat","Vic.","4322"
"Bendigo","Vic.","5496"
"Bruce","Vic.","95"
"Calwell","Vic.","265"
"Casey","Vic.","2466"
"Chisholm","Vic.","65"
"Cooper","Vic.","60"
"Corangamite","Vic.","5441"
"Corio","Vic.","773"
"Deakin","Vic.","79"
"Dunkley","Vic.","152"
"Flinders","Vic.","871"
"Fraser","Vic.","106"
"Gellibrand","Vic.","124"
"Gippsland","Vic.","33182"
"Goldstein","Vic.","50"
"Gorton","Vic.","540"
"Higgins","Vic.","41"
"Holt","Vic.","266"
"Hotham","Vic.","83"
"Indi","Vic.","29187"
"Isaacs","Vic.","155"
"Jagajaga","Vic.","104"
"Kooyong","Vic.","55"
"Lalor","Vic.","493"
"La Trobe","Vic.","748"
"Macnamara","Vic.","41"
"Mallee","Vic.","81962"
"Maribyrnong","Vic.","64"
"McEwen","Vic.","2670"
"Melbourne","Vic.","40"
"Menzies","Vic.","184"
"Monash","Vic.","8 879"
"Nicholls","Vic.","14768"
"Scullin","Vic.","116"
"Wannon","Vic.","33419"
"Wills","Vic.","46"
"Brand","WA","377"
"Burt","WA","172"
"Canning","WA","6304"
"Cowan","WA","180"
"Curtin","WA","98"
"Durack","WA","1629858"
"Forrest","WA","11072"
"Fremantle","WA","196"
"Hasluck","WA","1192"
"Moore","WA","90"
"O'Connor","WA","868576"
"Pearce","WA","13 250"
"Perth","WA","80"
"Stirling","WA","74"
"Swan","WA","134"
"Tangney","WA","83"
"NSW",,
"SA",,
"ACT",,
"NT",,
"TAS",,
"WA",,
"QLD",,
"National",,
